laptop_id,name,price,original_price,discount_pct,status,delivery_location,seller,seller_shipping_speed,seller_quality-score,customer_rating,seller_score,seller's_followers,brand,model,ram,storage,storage_unit,processor,os,display,rating_score,value_for_money,price_diff,price_range
325388812,"HP Elitebook 840 G7 | 14"" Full HD | i5-10210U | 8GB RAM | 256GB Fingerprint | Backlit | 2 x Thunderbolt | Wi-Fi 6 | Windows 11 pro refurbished Grade A",29999.0,29999.0,,7 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,yaleo services,Very Poor,Very Poor,Average,32%,164.0,HP,Elitebook,8GB,8.0,GB,i5,Windows 11,14.0,3.0,9999.666666666666,0.0,Mid
325653074,"Lenovo  Refurbished High quality gradeThinkPad X1 Carbon Gen 6, 14"", 8th Gen, Intel Core i5, 8GB RAM, 256GB SSD (6 Months WRTY)",26500.0,35000.0,24%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Techbiz,Good,Excellent,Poor,76%,149.0,Lenovo,Refurbished,8GB,8.0,GB,i5,,14.0,2.0,13250.0,8500.0,Mid
9573146,"DELL Latitude 7280 6th Gen-Core I5-8GB Ram-256GB SSD-Refurbished- 13""-Black-Win 10 (6 Months WRTY)",26000.0,30000.0,33%,6 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH TECHNOLOGIES,Good,Excellent,Good,90%,12.0,DELL,Latitude,8GB,8.0,GB,,,14.0,4.0,6500.0,4000.0,Mid
326315731,HP EliteBook 840 G5/6 Intel Core i7 8th generation 14 inches Screen Size FHD Display 16GB Ram & 512 GB SSD Storage,38500.0,55000.0,30%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Unicom computers,,,Unknown,,,HP,EliteBook,16GB,16.0,GB,i7,,14.0,1.0,38500.0,16500.0,High
315922461,"DELL Refurbished Latitude 7490, 8th Gen Intel Core I7, 14"" FHD Touch, 8GB RAM, 256GB SSD, Windows 11 Pro, Black",30000.0,30000.0,,3 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Laptop Clinic,Average,Very Poor,Good,52%,170.0,DELL,Refurbished,8GB,8.0,GB,,Windows 11,14.0,4.0,7500.0,0.0,Mid
325857456,"HP Refurbished EX-UK EliteBook 840 G6 Business Laptop – 14"" Full HD Anti-Glare Display, Intel Core i7-8565U up to 4.6GHz, 16GB DDR4 RAM, 512GB PCIe SSD, Windows 11 Pro – Silver",38000.0,38000.0,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91.0,HP,Refurbished,16GB,16.0,GB,i7,Windows 11,14.0,4.0,9500.0,0.0,High
312652290,"HP Refurbished EliteBook 820 G3 Core I7 8GB RAM 512GB SSD 6th Gen 12.5"" Ultraslim Laptop",24999.0,32000.0,22%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Phonelegit Kenya,Good,Excellent,Good,92%,12.0,HP,Refurbished,8GB,8.0,GB,,,14.0,4.0,6249.75,7001.0,Mid
322774822,Lenovo Refurbished Thinkpad T480s Touchscreen  Core I5 8GB RAM 256GB SSD 14 Inch FHD 8TH GEN + LAPTOP BAG,28499.0,35000.0,19%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lantel  System,Good,Very Poor,Good,58%,52.0,Lenovo,Refurbished,8GB,8.0,GB,,,14.0,4.0,7124.75,6501.0,Mid
326688323,Chuwi Corebook i3,33999.0,48999.0,31%,Some variations with low stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,KALTECH SOLUTIONS,,,Unknown,,1.0,Chuwi,Corebook,8GB,8.0,,i3,,14.0,1.0,33999.0,15000.0,Mid
315923222,DELL Refurbished Latitude 7280 Core I5 16GB RAM 256GB SSD 6th Gen 12.5 Inch Ultrabook Slim Laptop + FREE LAPTOP BAG,20899.0,30000.0,30%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Delta System,Good,Excellent,Average,82%,16.0,DELL,Refurbished,16GB,16.0,GB,,,14.0,3.0,6966.333333333333,9101.0,Mid
313697204,"HP Refurbished EX-UK EliteBook 840 G6 Business Laptop, Intel Core i5 8th Gen 1.8GHz, 16GB RAM, 512GB SSD, 14 Inch Full HD (1920x1080) Display, Windows 11 Pro",32999.0,32999.0,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91.0,HP,Refurbished,16GB,16.0,GB,i5,Windows 11,14.0,4.0,8249.75,0.0,Mid
320995246,"DELL Latitude 7280, Core I5 -6300U 6th Gen 2.60GHz, 8GB RAM, 256GB SSD",16900.0,25000.0,32%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123.0,DELL,Latitude,8GB,8.0,GB,,,14.0,3.0,5633.333333333333,8100.0,Low
312754068,"HP REFURBISHED EliteBook 840 G1 Intel Core I5 14"" INCHES 500GB HDD 16GB Ram 'TOUCHSCREEN'",22999.0,28000.0,18%,7 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Phonelegit Kenya,Good,Excellent,Good,92%,12.0,HP,REFURBISHED,500GB,500.0,GB,,,14.0,4.0,5749.75,5001.0,Mid
326087724,Lenovo Lenovo__ Refurbished Thinkpad T14 Core I5 10th Gen 8gb Ram 256gb SSD,31999.0,54999.0,42%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,GEEWORLD TECHNOLOGIES,Good,Excellent,Poor,78%,3.0,Lenovo,Lenovo__,8GB,8.0,,,,14.0,2.0,15999.5,23000.0,Mid
9395895,Lenovo  Refurbished Yoga 390 X360 Touchscreen Core I5 8th Gen 8GB RAM +256GB SSD STORAGE FHD Plus Stylus Pen,26000.0,40000.0,36%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123.0,Lenovo,Refurbished,8GB,8.0,GB,,,14.0,3.0,8666.666666666666,14000.0,Mid
312659598,"DELL Latitude 3189 X360-4GB RAM-256GB SSD-Touchscreen- Intel Pentium -Refurbished-Win 10-Grey-12"" (6 Months WRTY)",16500.0,17500.0,6%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,ALLOYS HUB TECH,,,Unknown,,1.0,DELL,Latitude,4GB,4.0,GB,,,14.0,1.0,16500.0,1000.0,Low
325280930,HP EXUK Elitebook 1030 G3 8th Generation Intel Core i7 16gb Ram 512gb SSD x360 Convertible Touch Screen,46700.0,56000.0,17%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PC Point KE,Good,Very Poor,Excellent,60%,2.0,HP,EXUK,8GB,8.0,,i7,,14.0,5.0,9340.0,9300.0,High
326318590,Lenovo REFURBISHED THINKPAD W550S INTEL CORE I7 WITH 8GB RAM MEMORY 256GB SSD 15 INCHES BLACK COLOR WITH ACTIVE WINDOWS 10 AND OFFICE,22499.0,28000.0,20%,2 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Laptoppalace,Excellent,,Unknown,98%,3.0,Lenovo,REFURBISHED,8GB,8.0,GB,,,14.0,1.0,22499.0,5501.0,Mid
8009099,"Lenovo ThinkPad L13 Gen 2 (13”, Intel) Laptop, 11th Gen Intel Core i5-1145G7,Integrated Intel® Iris® Xe Graphics, 16GB Ram DDR4, 256GB SSD",49700.0,55000.0,10%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Vention Centre Kenya,Poor,Excellent,Excellent,84%,23.0,Lenovo,ThinkPad,16GB,16.0,GB,i5,,14.0,5.0,9940.0,5300.0,High
