laptop_id,name,price,price_before_discount,discount_pct,status,delivery_to_nairobi,seller,seller_shipping_speed,seller_quality-score,seller_customer_rating,seller_score,seller's_followers,scraped_at
250796197,"HP Refurbished Elitebook 745 G6 AMD Ryzen 5 Pro 3500U, 16GB RAM 512GB SSD, 2GB Radeon Graphics, 14"" FHD 1080p Touchscreen Windows 11 Pro Laptop .","KSh 36,500","KSh 60,000",39%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Wain Collection,Excellent,Very Poor,Good,60%,81,2026-01-26 19:50:07
321943197,HP Refurbished Probook X360 11 G2 *TOUCH SCREEN* Corei5 8GB 256GB SSD Win 11,"KSh 22,000","KSh 25,000",12%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TECH SHOPIT,Excellent,Excellent,Excellent,98%,16,2026-01-26 19:50:08
313014014,HP Refurbished EX-UK ProBook 635 Aero G7 AMD Ryzen 5 32GB RAM 256GB SSD Windows 11 Pro 13 Inch Display,"KSh 35,000",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91,2026-01-26 19:51:08
325731145,Lenovo Refurbished Thinkpad Yoga 11e core i5 8th gen 8gb 256gb,"KSh 19,800","KSh 22,000",10%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Tehillah Distributors,Very Poor,Excellent,Good,68%,10,2026-01-26 19:51:09
326217387,"HP  Refurbished EliteBook 820 G1 Core I5 8GB RAM 256 SSD, 6 Months WRTY","KSh 17,799","KSh 19,000",6%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,RICKTECH COMPUTERS,Good,Excellent,Excellent,98%,23,2026-01-26 19:51:10
323669099,DELL Latitude 5300 Refurbished Core I5 -8th Generation 8GB RAM 256GB SSD X360 Touchscreen + 6 Months Warranty + Laptop Bag,"KSh 27,074","KSh 35,000",23%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lola Tech,Good,Excellent,Average,84%,4,2026-01-26 19:51:11
326440356,"HP Elite X2 1012 G4 i7 512GB SSD 16GB 13"" Touch-screen","KSh 41,000","KSh 51,000",20%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Linus Tech Ventures,,,,,2,2026-01-26 19:53:12
322378379,"DELL Latitude 5300 Core I5 -8th Gen-8GB RAM -256GB SSD X360 Touchscreen -Refurbished-Windows 11- 13"" Screen Size","KSh 25,500",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Simple Tech,,,,,8,2026-01-26 19:56:13
249593709,"HP Refurbished EliteBook 820 G3 Core I5 8GB-500GB SSD 6th Gen 12.5"" Renewed Windows 10","KSh 19,992","KSh 30,000",33%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Wasini Technologies,Good,Excellent,Good,86%,79,2026-01-26 19:56:15
326350215,"HP Brand new Notebook 15s Intel Celeron N4120 4GB DDR4-2666 SDRAM 256GB PCIe NVMe M.2 SSD 15.6"" Diagonal HD SVA Display Intel UHD Graphics TrueVision HD Camera Dual Speakers 1 Year warrant","KSh 47,999","KSh 51,999",8%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lapis Technologies,,,,,,2026-01-26 19:58:16
325582458,"DELL Latitude 3189 Touchscreen Convertible 2-in-1 X360, HDMI Ready Refurbished Laptop,Windows 11 PRO Activated, Office & Basic Software Installed, Free Bag + Charger + Wireless Mouse + Mouse Pad + Free Extension.","KSh 17,699","KSh 21,999",20%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Vertex Innovation Hub,Good,Very Poor,Poor,42%,1,2026-01-26 19:58:17
325449601,"DELL  Refurbished EX-UK Latitude 5300 13.3"" Touchscreen 2 in 1 Notebook - 1920 X 1080 - Intel Core i5 8th Generation - 8GB RAM - 256GB SSD","KSh 35,000",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Digital Link Computers,Good,Excellent,Good,88%,3,2026-01-26 19:59:18
166807824,HP Probook 11 G2 2.3Ghz Core i3 (6TH GEN) – 4gb RAM – 128GB SSD – 11.6 TouchScreen (Refurbished,"KSh 20,000",,,3 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,POWERBOOK IT SOLUTIONS,,,,,,2026-01-26 20:02:18
312656536,Microsoft Refurbished EX-UK Surface Pro 4 1724 Intel Core i5 6th Gen 8GB RAM 256GB SSD 12.3 Inch PixelSense Touchscreen Display,"KSh 33,999",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,novetech supplies,Good,Good,Good,86%,91,2026-01-26 20:03:19
325936393,"Lenovo ThinkPad X280 Intel Core i5-8350U Quad-Core 8GB RAM 256GB SSD 12.5"" FHD IPS Display Refurbished 6months Warranty","KSh 26,500","KSh 38,000",30%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH GENERAL SUPPLIES,Good,Excellent,,94%,14,2026-01-26 20:03:50
320621546,"Lenovo Refurbished X390 Yoga Core I5 TOUCHSCREEN X360 8th Gen 16GB +256GB SSD 13.3"" FHD X360 +Stylus Pen (6 Months WRTY)","KSh 29,400","KSh 40,000",27%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH TECHNOLOGIES,Good,Excellent,Good,90%,12,2026-01-26 20:03:51
316120549,"HP Refurbished Elitebook 745 G6 AMD Ryzen 5 Pro 3500U 16GB RAM 512GB SSD 2GB Radeon Graphics 14"" FHD 1080p Windows 11 Pro Laptop (6 Months WRTY)","KSh 34,499","KSh 45,000",23%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Lantel  System,Good,Very Poor,Good,58%,52,2026-01-26 20:03:52
163153335,DELL Refurbished Latitude E7270 Core I5 8GB 256GB SSD 6th Gen 12.5 Inch Ultrabook Windows 11 Laptop (6 Months WRTY),"KSh 17,900","KSh 30,000",40%,8 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Kentouch Kenya,Excellent,Excellent,Excellent,98%,286,2026-01-26 20:03:53
313016129,Lenovo Refurbished ThinkPad X1 Carbon 8th Gen Intel Core i7-8565U 8GB RAM 256GB SSD with a free p9 pro headphones,"KSh 31,800","KSh 42,000",24%,4 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,DREAMCOM TECHNOLOGY,Poor,Excellent,Good,74%,2,2026-01-26 20:03:55
326126459,"Asus ASUS. VivoBook Flip 14 TP470EA – 11th Gen Intel Core i5, 8GB RAM, 256GB SSD, 14” Full HD Touchscreen, 360° Convertible – Windows 11 Home (Refurbished with 6-Month Warranty)","KSh 35,000","KSh 55,000",36%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,WASHINGTON INVESTMENT COMPUTERS,Average,Excellent,,86%,94,2026-01-26 20:04:26
314955717,"HP Refurbished Elitebook 840 G3 6th Gen , Core I5, 8GB RAM- SDD 256GB -14"", Sliver + Laptop Bag","KSh 22,799","KSh 30,000",24%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Tech Laptops,Excellent,Excellent,Excellent,98%,17,2026-01-26 20:04:27
326457710,HP 840 G5 Core i7 16GB RAM 512GB SSD,"KSh 39,000",,,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Linus Tech Ventures,,,,,2,2026-01-26 20:07:28
8354828,"HP EliteBook 840 G6-8th Gen -Core I5, 16GB RAM, 256GB-SSD-Refurbished-14""- Silver-Win (6 Months WRTY)",,"KSh 38,000",16%,7 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,JULTECH TECHNOLOGIES,Good,Excellent,Good,90%,12,2026-01-26 20:07:28
324358007,HP Refurbished EliteBook 840 G3 Core I7 8GB 256GB SSD 6th Gen 14Inch Win 10 Laptop + Free 14 Inches – Zipped Soft Laptop Sleeve(6 Months WRTY),"KSh 24,899","KSh 35,000",29%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,TheRoberts KE enterprise,Average,Excellent,,84%,10,2026-01-26 20:07:59
9540164,"HP 16GB RAM 256GB SSD Storage, EliteBook 820 G1 Intel Core I5 Slim Ultrabook Refurbished Laptop, Windows 11 PRO Activated",,"KSh 25,000",22%,In stock,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,PRODUCTS ZONE,Good,Poor,Average,68%,123,2026-01-26 20:08:00
325834227,"DELL G3 15 3590 HeavyPro Gaming Laptop Intel Core i7 9th Gen, 16GB RAM, 512GB SSD, GTX 1660 Ti 6GB,Warranty Included","KSh 50,000","KSh 85,000",41%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,WASHINGTON INVESTMENT COMPUTERS,Average,Excellent,,86%,94,2026-01-26 20:08:31
325798617,"Lenovo  Refurbshed Thinkpad T460S Core I5 8GB Ram 256GB SSD, 6th Generation 14 Inches","KSh 20,999","KSh 24,870",16%,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,RICKTECH COMPUTERS,Good,Excellent,Excellent,98%,23,2026-01-26 20:08:38
294401686,"Refurbished Elitebook 1030 G4 X360 Core I7 16GB 512GB SSD 2in1 Convertible 13.3 Touchscreen FHD, WINDOWS 11 PRO INSTALLED AND ACTIVED PLUS COMPLETE CHARGER","KSh 47,000","KSh 58,000",19%,5 units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,Neileys  Technologies,Good,Very Poor,Poor,44%,56,2026-01-26 20:08:39
326703409,"Lenovo Refurbished EX-UK ThinkBook 14s Yoga 2-in-1 Touch Laptop – 14"" FHD IPS Touchscreen, Intel Core i5-1135G7 (11th Gen), 8GB RAM, 256GB SSD, Windows 11 Pro, Premium Convertible Business Laptop","KSh 38,500",,,Few units left,+ shipping from KSh 170 to CBD - UON/Globe/Koja/River Road,THE MAXMART,Excellent,Excellent,,98%,2,2026-01-26 20:10:10
